,,M (pente),,,,,,,,,,,,,,,,,, B (ordonnée à l'origine),,,,,,,,,,,,,,,,,,
Type-Superf,reprise,1,2,3,4,5,6,7,8,9,10,15,20,25,30,40,50,60,200,,,,,,,,,,,,,,,,,,,
9LB_ed_    67,0.173392965376399,0.027781111990871,0.030924942194526,0.026536356752791,0.024776554772650,0.023703699384232,0.022954626762708,0.022555385781944,0.022550456982561,0.022463639117494,0.022346124524233,0.021906476172372,0.021923416552014,0.021024543880289,0.021228901472493,0.021162189533425,0.020893709009904,0.020839165553929,0.020813300454917,5.363582903488280,7.474300517633100,2.264222419850350,2.520198775817670,2.598928039551630,2.615639129198700,2.619255076018940,2.605153528118490,2.553834843344270,2.525900470538230,2.508871351397100,2.440450128066020,2.369432927376240,2.392081841760310,2.336163966180590,2.294998758061080,2.279687463172230,2.261218106488870,2.147830928653810
9LB_ed_    96,0.167048389192473,0.032766811856856,0.023817515860634,0.023346043175722,0.022664302683679,0.022413817110318,0.022404889738397,0.021997282158917,0.021969204464610,0.021741935511182,0.021484491689053,0.021158894001215,0.020783149769612,0.021135054398428,0.020886868732684,0.020482412332381,0.020485020862904,0.020370538566781,0.019914484053679,5.972662217145110,6.995673330498460,2.946535347903900,2.826468879216350,2.801704240092860,2.739467827494380,2.672029830352750,2.658731475929020,2.609635085067630,2.595184016744140,2.591588103574390,2.512218016497100,2.478898538486820,2.381472832018920,2.368999109202320,2.360257369361320,2.318921525284270,2.306206297255050,2.234117303172650
9LB_ed_   139,0.167417073574573,0.026934692088410,0.022147724211255,0.020871898191341,0.020066216671044,0.019830694204134,0.019668635573167,0.019232905899941,0.019105857412772,0.019064459003386,0.019093188703707,0.018686008483579,0.018385479283528,0.018443406686976,0.018387422050932,0.018323654337431,0.018155380542992,0.018308862357526,0.017928407422026,5.921415088033220,7.806337978312450,3.178636387167720,3.170375032045230,3.162838195849120,3.098521911454080,3.052369159319740,3.042979775926790,3.007640325273020,2.967353251327870,2.923979218537470,2.855949103448430,2.812174736052410,2.755611863910840,2.716422197965780,2.660324730659270,2.642741529752070,2.592779290341530,2.510181954972370
9LL_ed_    46,0.069662261593449,0.040113099081344,0.011184549881314,0.017180141039705,0.019074923975250,0.019881113016284,0.020843306326661,0.020577479969009,0.020864997245794,0.020549329946254,0.020704865779980,0.021331066689071,0.021428435188214,0.022020549839826,0.021371575951630,0.021527616765302,0.021693732303368,0.021837335668535,0.022112879006221,5.446267462639900,7.102990180435150,3.935641173556200,3.597757190910890,3.362151310946110,3.215387405981000,3.091748093463530,3.038995123032850,2.974878698413080,2.951202467892170,2.908484104402020,2.745280050099860,2.667987137700730,2.583759413596900,2.570699264237740,2.510266844121960,2.462110611323620,2.421830766583640,2.273804350944580
9LL_ed_    67,0.066029499117631,0.031073923910555,0.029656674832498,0.023984013150580,0.022985447290777,0.023037022339965,0.022997043307142,0.022843774183105,0.022551275587789,0.022524599578156,0.022643072714893,0.021656623960217,0.021298043024422,0.020912426320413,0.021092490872154,0.021203362904167,0.020959154013011,0.020957918365183,0.020527922398633,5.689662548519690,7.708614916877980,2.698008801826860,3.141897759482220,3.100146248805770,3.003941481294390,2.947447715771310,2.887153410688440,2.861898049499380,2.818859402554740,2.778624239762880,2.723467712933100,2.676723412674810,2.658003689397520,2.589397964562660,2.531991852817980,2.511327356777520,2.480751725908230,2.379996443652970
9LL_ed_    96,0.065758531457231,0.033471592261851,0.024201455621727,0.022776425622128,0.022109881763043,0.022081676515261,0.021758158281688,0.021352746073295,0.021370919225804,0.021301415323057,0.021095768271439,0.021167148429961,0.021075093515564,0.020962447696220,0.020907443230330,0.020560474612571,0.020498050915199,0.020570242488657,0.020206735832695,5.715675443918150,7.478438755153640,3.221709846060910,3.257826162213680,3.184200539468230,3.095654680465980,3.066380678214880,3.030292109230180,2.975212260249980,2.936285091044190,2.927165466334380,2.770457363837600,2.698126565525120,2.653201637320050,2.607162538177780,2.593709128811230,2.555593254167440,2.517968610054670,2.410830353983040
9LL_ed_   139,0.063601222731313,0.028295195992919,0.021754133536466,0.020241736109958,0.019920438023637,0.019103292411038,0.019145860887528,0.019102637737228,0.018909913124748,0.018804643020894,0.018644452956952,0.018572488343182,0.018272385665296,0.018233920500898,0.018137379838271,0.018088717349807,0.018014778467719,0.017987916893359,0.017947791367868,6.015541356820750,8.197957836535180,3.561887615912120,3.610148004405320,3.488533219245740,3.509650070952980,3.429490016003140,3.343057167943420,3.317292108296710,3.283336441044920,3.267898295048090,3.131115115899880,3.087702956712450,3.032466917469810,2.992201349673940,2.937283388335470,2.900768124367130,2.876911867801160,2.724823634593900
LB_a_    46,0.008451045976547,0.012072922823638,-0.000747468013080,0.002554867833029,0.003208005627757,0.003096939665992,0.004531646070337,0.004425658601489,0.004601322714368,0.004583674320234,0.004971420869702,0.005140545706157,0.005179790741904,0.005182137446906,0.005544432774513,0.005063867952079,0.005215512081137,0.005032746228895,0.005220074646636,4.991444636012330,7.130635194303320,3.445868545934040,3.117128383430900,2.978381761968290,2.907535954109230,2.775562485916900,2.721418616545950,2.665798034297950,2.626663424515510,2.582974862221730,2.453495985851410,2.374101682290500,2.326639902537680,2.262183453129390,2.231903687455140,2.183835912383240,2.162792544540700,2.011492315147880
LB_a_    67,0.005573995726907,0.007962851038438,0.006426895208342,0.006938631873522,0.006176066634388,0.006198120444397,0.005394306301298,0.005606068435022,0.005484784010540,0.005647841994468,0.005133132830201,0.004943561952393,0.004863788406449,0.004851168783849,0.004961461749399,0.004900343102621,0.004810885337920,0.005149924373551,0.004955039829366,5.184207002738230,7.406010003911760,2.965186210098740,2.823416192717870,2.779521674524040,2.699756841956080,2.717764250442540,2.642331157699240,2.606606127454380,2.555364190341800,2.572140160868270,2.466693897353580,2.395273838765970,2.348814802962540,2.301242511812010,2.242859852368820,2.210945904178770,2.154941608848750,2.029249647904930
LB_a_    96,0.001807106904087,0.002581581291554,0.011816926740090,0.008350233142045,0.007729871851583,0.007192615995810,0.006850105164238,0.006650076290369,0.006422964479938,0.006274803136441,0.006086780486024,0.005665672967269,0.005613992910117,0.005325349851110,0.005219833479114,0.005117408641730,0.005232076104976,0.005030795323177,0.004838490377330,5.545828329728860,7.922611899612650,2.447743183051000,2.687902470939620,2.630356373673270,2.604285269020440,2.578007559600270,2.542106403585900,2.516540802392190,2.495175920712460,2.480589985909290,2.397371239925520,2.323254206413850,2.303293420505410,2.276438825759350,2.222021560614280,2.170511590541430,2.166377997684630,2.040438395300380
LB_a_   139,0.005932254518979,0.008474649312828,0.004344199890800,0.004926177750806,0.005043172996767,0.005084102795999,0.005030142892441,0.004873487273577,0.005003356886236,0.004984050821052,0.004956083203977,0.005256569513513,0.004998841845907,0.005147148573629,0.005125700971784,0.005224982163970,0.004979252866916,0.005032321364732,0.005095572626221,4.972432811258890,7.103475444655550,3.486452215102250,3.163846170321830,3.003807514492770,2.897368603794250,2.830982315380150,2.789052276919950,2.713866257916760,2.674590492551510,2.637756908113800,2.454236619997530,2.408760204339060,2.328063398075250,2.289523244278240,2.207068841023000,2.205654020631730,2.166165877908540,2.004703962704540
LL_a_    46,0.009662261593449,0.013803230847785,-0.001895114396858,0.003796566862019,0.004237826975299,0.004983605896965,0.004779258251192,0.004855058609862,0.004782141765731,0.004846205002217,0.004512550881892,0.004656588571691,0.004642997050100,0.004759302713568,0.004834623708151,0.005097095851573,0.005282570516227,0.005210667446554,0.004794222365744,5.446267462639900,7.780382089485570,4.276247019638760,3.730842986560250,3.541301005697890,3.396596121449090,3.324674846027410,3.242386798686820,3.187022499644060,3.128584322954470,3.116222059141200,2.961918888023780,2.877809753149050,2.808624056720280,2.750644578035430,2.676807627277030,2.619686313065900,2.585927146402540,2.450549998431380
LL_a_    67,0.006029499117631,0.008613570168045,0.005782316705590,0.005613969031705,0.005666782226231,0.004908531575849,0.005517238196128,0.005420060744919,0.005543398023102,0.005589560851242,0.005801458255279,0.005767747463761,0.005373639215144,0.005346691882159,0.005291011967438,0.004971531998444,0.004929674573811,0.005209191620130,0.005133028089500,5.689662548519690,8.128089355028130,3.761859135774800,3.609077041191280,3.445561003885460,3.401626100963820,3.275230189716690,3.204531655637980,3.136018330400210,3.078779481069750,3.029865265124280,2.887471242255110,2.828856728091040,2.769268982424660,2.720066564663180,2.685220405436720,2.643330341207730,2.586026026772970,2.427850014939740
LL_a_    96,0.005758531457231,0.008226473510330,0.006114482031599,0.005929451471258,0.005760828349321,0.005865541519313,0.005695470324306,0.005199030490510,0.005162071862430,0.005644149904265,0.005403956768021,0.005319175679814,0.005158036558752,0.005414761150843,0.005307983296218,0.005425228382026,0.005225869249084,0.005223591037605,0.004938248960348,5.715675443918150,8.165250634168780,3.729971264477940,3.578790726994220,3.436532576068810,3.309753146391280,3.258119905411570,3.225750560061270,3.172625641824710,3.073538931979610,3.068025407901070,2.930534133514010,2.849554583104670,2.762734332631040,2.718437317100280,2.641665552612830,2.614895652381590,2.584643682695320,2.446548811338340
LL_a_   139,0.003601222731313,0.005144603901875,0.006782030755021,0.005941181865549,0.005637550962655,0.005469923491351,0.005301919867406,0.005756080400507,0.005648975109195,0.005294298812809,0.005249055876471,0.005105835717379,0.005228105896376,0.004950780780132,0.005014380662009,0.004863489736668,0.004946399945304,0.004810264815035,0.004995170197671,6.015541356820750,8.593630509743930,3.637181991922250,3.577160202187780,3.453668132815320,3.364744052278030,3.312823418920710,3.148320622571630,3.104946090524340,3.122168233691870,3.089556631826560,2.960188388292490,2.839814945174950,2.827227604159840,2.759248083255400,2.719747224317500,2.653741885606970,2.642096027632630,2.438636759350500
R1mc_1_ed_    67,0.072738611703863,0.039531243897283,0.030855223788165,0.029526154926163,0.028420347901591,0.028109654437299,0.027988113170658,0.028077200621692,0.027744670587546,0.027529596607287,0.027758886782487,0.027170626233410,0.027223227575370,0.026942705419151,0.026865108884334,0.026852384490624,0.026504517916918,0.026725381092712,0.026452473350549,5.978004860136150,8.360830213874090,3.657706676555260,3.619460336042520,3.580887751918530,3.518345758451390,3.449217436780030,3.361706650252740,3.349358917416810,3.317129859062360,3.262629294889420,3.177754410981050,3.091939103506670,3.062421820829710,3.023949768366780,2.965348164839070,2.954682284419730,2.904988408507550,2.795900515033710
R1mc_1_ed_    96,0.076474325486409,0.040424710376026,0.030508936297890,0.028182201467140,0.027573364239567,0.027273046462637,0.026869587485755,0.027031911178815,0.026474551596868,0.026873895655440,0.026454391389996,0.025971393123346,0.025735227501446,0.025682528281740,0.025519448634880,0.025480769739302,0.025212917089512,0.025317228434149,0.024758123886693,5.619376337011780,8.275057431914830,3.690950275621610,3.748479868108750,3.662198183472840,3.598660124018880,3.556595902530700,3.462054436768920,3.471290340521880,3.380077150439710,3.387860852568640,3.292880789547140,3.234787110603370,3.183398826021240,3.153133152314380,3.097023180966040,3.078675963850650,3.040171063729540,2.958558063563910
R1mc_1_ed_   139,0.075460339922563,0.036256797322402,0.025620808568179,0.024616637507950,0.024520848332623,0.023997689039164,0.023740081140023,0.023333548515012,0.023536457261772,0.023079142878249,0.023066304865943,0.023019029982218,0.022827050519556,0.022738155542956,0.022617660539421,0.022453895009033,0.022526543950799,0.022288772149619,0.022177934424766,5.760320330386280,8.854397346368550,4.370400030051500,4.244093258436140,4.086497894538100,4.053934805881590,3.991597284587510,3.976126847037620,3.879685453100260,3.907547786469300,3.858804879411930,3.703259266163980,3.639023711086090,3.592666636712170,3.556481697583150,3.517758768473420,3.452081830131800,3.461126487279250,3.317204398771720
R1mc_1_ed_   200,0.074459562364193,0.035268916702100,0.023369347777678,0.022790441252314,0.022172555756930,0.021919262879570,0.021737540774732,0.021795386498959,0.021413611236606,0.021713838593029,0.021503080207088,0.021283696728084,0.021124272823831,0.020934950754082,0.021015772722747,0.020977540458755,0.020868653454505,0.020907068318973,0.020482978111598,5.960475842060350,9.051973470428840,4.820692188151680,4.609332509563390,4.556156409676500,4.469620037800430,4.392105357645620,4.283759250248170,4.304254658133450,4.180608643513230,4.171449811182960,4.050325916990730,3.979579250231070,3.953307594486930,3.876859260918010,3.813029678528910,3.783659929390570,3.737467253408520,3.656195661405350
R1mc_1_ed_   288,0.074848877867575,0.026830705267093,0.020127226182055,0.019846341110970,0.019567339660798,0.019642495359590,0.019622792042938,0.019467886320177,0.019536850020339,0.019294183982732,0.019327673216958,0.019169767286972,0.019175920955021,0.019144782286574,0.019111647564767,0.018966286509895,0.019112183993856,0.019110565703381,0.019218492880942,5.848352977086320,11.482178363711000,5.754423207691210,5.457233350270200,5.306458645362530,5.125329083554780,5.001152992402430,4.954079301737370,4.844761888418090,4.877469171278770,4.797967024340270,4.659137596031120,4.540704588448250,4.468876113129380,4.425247306416150,4.392270815800790,4.289523134057650,4.254860006699030,4.020367407834140
R1mc_1_ed_   416,0.058050640131282,0.022396697904630,0.018748595501273,0.018224254368395,0.018119387079622,0.017970779086317,0.017869080974414,0.017896930380076,0.017851432083067,0.017766965674830,0.017737981570303,0.017735653945870,0.017656578944176,0.017732813136024,0.017675364989316,0.017785753577793,0.017747852115122,0.017761729679702,0.017894518812770,12.836419875384200,13.326725426495300,6.327933570896500,6.132021435181760,5.908806919132020,5.820763053236180,5.730696796908520,5.607596972819530,5.545895750323290,5.512791987365890,5.459278749348760,5.255728745929420,5.172750864959660,5.056255279757950,5.022740857803770,4.883372515555020,4.857085195610800,4.815975792549330,4.571140620193700
R1mc_1_ed_   600,0.052657320381586,0.019295080775720,0.016787698636338,0.016777079154997,0.016660461100789,0.016644753107438,0.016586774543587,0.016539270345139,0.016523991979829,0.016513528274990,0.016541442481571,0.016502875108744,0.016505020654277,0.016520867702346,0.016554837004261,0.016566886631990,0.016585136146948,0.016667434857687,0.016890098505118,16.072411725201600,15.187695703841800,7.504471689857630,7.000326563220300,6.784162506431990,6.616378640563500,6.500080655404420,6.422192993781700,6.342359812266110,6.264854427270150,6.177202202588330,5.995396048204990,5.863685838899530,5.783422539964770,5.695057648836970,5.614692683036780,5.554714776515190,5.472552685758360,5.173792804785280
R1mc_2_ed_    67,0.072738611703863,0.041309748916614,0.030633018965298,0.029117960128972,0.028935905452582,0.028390989955300,0.028159809606813,0.028282904110488,0.027733161525880,0.027823438523987,0.027550784972395,0.027508776013552,0.026839141149632,0.027080162849321,0.026599069934738,0.026671749235516,0.026717789712356,0.026505821620698,0.026626976925160,5.978004860136150,8.543685399519160,3.961211825881010,3.923370958943440,3.798729207995890,3.744764831574110,3.700117566256400,3.619488490858340,3.613466231012010,3.555936232916160,3.546399771492180,3.420733483803400,3.379141331924680,3.312990296917800,3.304951471868020,3.241587315701740,3.195587408376220,3.188123040733050,3.045122012387270
R1mc_2_ed_    96,0.076474325486409,0.040936027206963,0.028496346566909,0.027460337361320,0.026805278745145,0.026977027179541,0.026072366048882,0.026281771657396,0.025922544275508,0.025955895730037,0.025852351374229,0.025401022525097,0.025535873798187,0.025284724245141,0.025512964781447,0.025146332811198,0.025079794245966,0.025188618870866,0.024546652263612,5.619376337011780,8.579562683645700,4.166332376126380,4.082502744638040,4.003269371909830,3.880505258046950,3.900512147817720,3.811597206355160,3.787285487047740,3.735220341135360,3.709449396916170,3.623077818695160,3.504254997663340,3.485352402919060,3.409217566583940,3.388027292436270,3.352834973149640,3.314574504716990,3.244833179895870
R1mc_2_ed_   139,0.075460339922563,0.035573853258255,0.024950679869689,0.024089609782648,0.023502063783071,0.022970999753723,0.022914822386833,0.022606576122907,0.022716786416472,0.022573101877330,0.022452342062136,0.022169109206257,0.022005270771176,0.021938350732467,0.021717388986815,0.021740887028691,0.021677669439318,0.021356063867907,0.021200116677359,5.760320330386280,9.324904862516040,4.659180047039980,4.551033878073500,4.462416251638220,4.437343070235670,4.339410716842590,4.322449385649140,4.232885829453790,4.205428686661720,4.182050691297040,4.072313770013850,3.995008818417900,3.950498321180760,3.936802602037780,3.861384256204760,3.825730321273730,3.847299650128170,3.710001626385010
